event_id,name,type,date,time,location,city,desc,image,created_at
1019,Satsang Sabha,Jagran,2025-08-11,16:30,"Durga Mandir, Sector 24",Lucknow,Special spiritual event with prasad,matachowki.jpg,2025-07-15 07:38:55
1020,Lakshmi Poojan,Bhajan,2025-10-08,18:45,"Radha Krishna Mandir, Sector 21",Mumbai,Path and kirtan with spiritual leaders,matachowki.jpg,2025-07-15 07:38:55
1021,Navratri Bhajan,Bhajan,2025-10-27,14:15,"Vaishno Devi Mandir, Sector 28",Lucknow,Special spiritual event with prasad,shivratri.jpg,2025-07-15 07:38:55
1022,Satsang Sabha,Pooja,2025-08-27,17:00,"Kalka Mandir, Sector 25",Delhi,Live bhajan by local artists,ramayan.jpg,2025-07-15 07:38:55
1023,Ganesh Chaturthi,Satsang,2025-08-03,11:15,"Hanuman Mandir, Sector 1",Lucknow,Morning pooja followed by community lunch,ramayan.jpg,2025-07-15 07:38:55
1024,Satsang Sabha,Satsang,2025-09-25,17:30,"Hanuman Mandir, Sector 36",Jaipur,Path and kirtan with spiritual leaders,bhajan.jpg,2025-07-15 07:38:55
1025,Kirtan Mela,Bhajan,2025-09-16,12:00,"Kalka Mandir, Sector 41",Bangalore,Special spiritual event with prasad,bhajan.jpg,2025-07-15 07:38:55
1026,Kirtan Mela,Bhajan,2025-09-08,16:00,"Vaishno Devi Mandir, Sector 33",Ahmedabad,Live bhajan by local artists,janmashtami.jpg,2025-07-15 07:38:55
1027,Ramayan Paath,Satsang,2025-10-09,08:00,"Shiv Mandir, Sector 5",Hyderabad,All-night Jagran with langar,noimage.jpg,2025-07-15 07:38:55
1028,Mata Ki Chowki,Bhajan,2025-09-07,15:30,"Durga Mandir, Sector 34",Ahmedabad,Morning pooja followed by community lunch,shivratri.jpg,2025-07-15 07:38:55
1029,Radha Ashtami,Satsang,2025-10-29,10:30,"Radha Krishna Mandir, Sector 1",Ahmedabad,All-night Jagran with langar,sunderkand.jpg,2025-07-15 07:38:55
1030,Ganesh Chaturthi,Bhajan,2025-10-18,21:45,"Radha Krishna Mandir, Sector 30",Ahmedabad,Morning pooja followed by community lunch,bhajan.jpg,2025-07-15 07:38:55
1031,Krishna Janmashtami,Bhajan,2025-08-23,20:00,"Vaishno Devi Mandir, Sector 5",Chennai,Live bhajan by local artists,shivratri.jpg,2025-07-15 07:38:55
1032,Durga Saptashati,Bhajan,2025-09-12,18:00,"Vaishno Devi Mandir, Sector 22",Lucknow,All-night Jagran with langar,matachowki.jpg,2025-07-15 07:38:55
1033,Hanuman Jayanti,Bhajan,2025-10-07,21:30,"Vaishno Devi Mandir, Sector 30",Delhi,Path and kirtan with spiritual leaders,matachowki.jpg,2025-07-15 07:38:55
1034,Sunderkand Path,Bhajan,2025-09-21,09:00,"Kalka Mandir, Sector 25",Hyderabad,All-night Jagran with langar,noimage.jpg,2025-07-15 07:38:55
1035,Ramayan Paath,Pooja,2025-10-14,19:45,"Durga Mandir, Sector 27",Pune,All-night Jagran with langar,bhajan.jpg,2025-07-15 07:38:55
1036,Sunderkand Path,Pooja,2025-09-30,16:15,"Hanuman Mandir, Sector 32",Delhi,Path and kirtan with spiritual leaders,janmashtami.jpg,2025-07-15 07:38:55
1037,Shivratri Pooja,Jagran,2025-09-06,05:30,"Durga Mandir, Sector 36",Varanasi,Special spiritual event with prasad,ramayan.jpg,2025-07-15 07:38:55
1038,Bhajan Sandhya,Satsang,2025-09-12,11:45,"Kalka Mandir, Sector 36",Mumbai,Special spiritual event with prasad,ramayan.jpg,2025-07-15 07:38:55
1039,Mata Ki Chowki,Satsang,2025-09-20,19:15,"Shiv Mandir, Sector 15",Varanasi,Morning pooja followed by community lunch,bhajan.jpg,2025-07-15 07:38:55
1040,Hanuman Jayanti,Pooja,2025-08-14,16:30,"Shiv Mandir, Sector 22",Chennai,Path and kirtan with spiritual leaders,noimage.jpg,2025-07-15 07:38:55
1041,Shivratri Pooja,Satsang,2025-10-23,16:45,"Durga Mandir, Sector 49",Delhi,Special spiritual event with prasad,sunderkand.jpg,2025-07-15 07:38:55
1042,Jagran Mahotsav,Pooja,2025-09-18,11:15,"ISKCON Temple, Sector 40",Ahmedabad,Special spiritual event with prasad,ramayan.jpg,2025-07-15 07:38:55
1043,Hanuman Jayanti,Bhajan,2025-09-08,17:00,"Radha Krishna Mandir, Sector 2",Hyderabad,All-night Jagran with langar,ramayan.jpg,2025-07-15 07:38:55
1044,Ganesh Chaturthi,Satsang,2025-08-11,16:00,"Shiv Mandir, Sector 36",Pune,Morning pooja followed by community lunch,bhajan.jpg,2025-07-15 07:38:55
1045,Krishna Janmashtami,Pooja,2025-10-25,17:00,"Durga Mandir, Sector 29",Pune,Morning pooja followed by community lunch,ramayan.jpg,2025-07-15 07:38:55
1046,Shivratri Pooja,Pooja,2025-10-27,15:00,"Kalka Mandir, Sector 36",Chennai,Special spiritual event with prasad,ramayan.jpg,2025-07-15 07:38:55
1047,Jagran Mahotsav,Satsang,2025-10-15,10:45,"Hanuman Mandir, Sector 14",Delhi,Path and kirtan with spiritual leaders,shivratri.jpg,2025-07-15 07:38:55
1048,Lakshmi Poojan,Pooja,2025-10-07,18:00,"Durga Mandir, Sector 50",Ahmedabad,Live bhajan by local artists,sunderkand.jpg,2025-07-15 07:38:55
1049,Satsang Sabha,Jagran,2025-09-28,17:15,"Kalka Mandir, Sector 38",Bangalore,Morning pooja followed by community lunch,shivratri.jpg,2025-07-15 07:38:55
1050,Sunderkand Path,Satsang,2025-08-01,12:30,"Durga Mandir, Sector 30",Varanasi,Path and kirtan with spiritual leaders,ramayan.jpg,2025-07-15 07:38:55
1051,Navratri Bhajan,Jagran,2025-10-21,18:00,"Radha Krishna Mandir, Sector 27",Mumbai,Special spiritual event with prasad,ramayan.jpg,2025-07-15 07:38:55
1052,Bhajan Sandhya,Jagran,2025-10-17,09:15,"Kalka Mandir, Sector 28",Varanasi,Path and kirtan with spiritual leaders,janmashtami.jpg,2025-07-15 07:38:55
1053,Lakshmi Poojan,Bhajan,2025-08-02,10:15,"ISKCON Temple, Sector 7",Varanasi,All-night Jagran with langar,shivratri.jpg,2025-07-15 07:38:55
1054,Navratri Bhajan,Jagran,2025-10-12,17:15,"Kalka Mandir, Sector 21",Jaipur,All-night Jagran with langar,noimage.jpg,2025-07-15 07:38:55
1055,Jagran Mahotsav,Bhajan,2025-08-12,20:15,"ISKCON Temple, Sector 25",Jaipur,Morning pooja followed by community lunch,sunderkand.jpg,2025-07-15 07:38:55
1056,Krishna Janmashtami,Satsang,2025-10-12,10:00,"Vaishno Devi Mandir, Sector 31",Delhi,Special spiritual event with prasad,shivratri.jpg,2025-07-15 07:38:55
1057,Bhajan Sandhya,Pooja,2025-10-15,09:15,"ISKCON Temple, Sector 44",Chennai,Morning pooja followed by community lunch,ramayan.jpg,2025-07-15 07:38:55
1058,Mata Ki Chowki,Bhajan,2025-09-26,20:30,"Vaishno Devi Mandir, Sector 13",Lucknow,Path and kirtan with spiritual leaders,shivratri.jpg,2025-07-15 07:38:55
1059,Ganesh Chaturthi,Satsang,2025-09-06,15:15,"Hanuman Mandir, Sector 31",Delhi,All-night Jagran with langar,noimage.jpg,2025-07-15 07:38:55
1060,Durga Saptashati,Bhajan,2025-08-10,13:00,"Hanuman Mandir, Sector 46",Pune,Morning pooja followed by community lunch,bhajan.jpg,2025-07-15 07:38:55
1061,Ramayan Paath,Jagran,2025-08-12,17:00,"Radha Krishna Mandir, Sector 9",Pune,Path and kirtan with spiritual leaders,sunderkand.jpg,2025-07-15 07:38:55
1062,Satsang Sabha,Jagran,2025-08-21,18:00,"Vaishno Devi Mandir, Sector 37",Varanasi,Special spiritual event with prasad,shivratri.jpg,2025-07-15 07:38:55
1063,Ramayan Paath,Jagran,2025-10-21,13:00,"Kalka Mandir, Sector 6",Lucknow,Live bhajan by local artists,matachowki.jpg,2025-07-15 07:38:55
1064,Hanuman Jayanti,Bhajan,2025-10-21,21:15,"ISKCON Temple, Sector 20",Hyderabad,Special spiritual event with prasad,janmashtami.jpg,2025-07-15 07:38:55
1065,Bhajan Sandhya,Satsang,2025-10-26,18:15,"Durga Mandir, Sector 45",Lucknow,Live bhajan by local artists,janmashtami.jpg,2025-07-15 07:38:55
1066,Bhajan Sandhya,Bhajan,2025-10-21,21:30,"ISKCON Temple, Sector 3",Delhi,Path and kirtan with spiritual leaders,shivratri.jpg,2025-07-15 07:38:55
1067,Navratri Bhajan,Jagran,2025-10-02,20:45,"ISKCON Temple, Sector 4",Varanasi,Live bhajan by local artists,bhajan.jpg,2025-07-15 07:38:55
1068,Radha Ashtami,Jagran,2025-08-10,08:30,"ISKCON Temple, Sector 32",Hyderabad,Special spiritual event with prasad,bhajan.jpg,2025-07-15 07:38:55
1069,Lakshmi Poojan,Bhajan,2025-10-25,20:30,"Vaishno Devi Mandir, Sector 44",Lucknow,All-night Jagran with langar,sunderkand.jpg,2025-07-15 07:38:55
1070,Ramayan Paath,Pooja,2025-09-20,21:00,"Vaishno Devi Mandir, Sector 16",Lucknow,Morning pooja followed by community lunch,shivratri.jpg,2025-07-15 07:38:55
1071,Ganesh Chaturthi,Jagran,2025-08-10,11:45,"Durga Mandir, Sector 31",Pune,Path and kirtan with spiritual leaders,matachowki.jpg,2025-07-15 07:38:55
1072,Hanuman Jayanti,Satsang,2025-10-13,05:45,"Durga Mandir, Sector 29",Mumbai,All-night Jagran with langar,noimage.jpg,2025-07-15 07:38:55
1073,Ramayan Paath,Pooja,2025-08-18,17:45,"Kalka Mandir, Sector 26",Varanasi,Live bhajan by local artists,matachowki.jpg,2025-07-15 07:38:55
1074,Bhajan Sandhya,Satsang,2025-09-30,21:00,"Vaishno Devi Mandir, Sector 4",Chennai,Live bhajan by local artists,matachowki.jpg,2025-07-15 07:38:55
1075,Durga Saptashati,Pooja,2025-09-20,19:15,"Hanuman Mandir, Sector 25",Pune,Morning pooja followed by community lunch,matachowki.jpg,2025-07-15 07:38:55
1076,Krishna Janmashtami,Bhajan,2025-09-04,20:15,"ISKCON Temple, Sector 13",Delhi,Morning pooja followed by community lunch,sunderkand.jpg,2025-07-15 07:38:55
1077,Hanuman Jayanti,Satsang,2025-09-05,14:45,"Durga Mandir, Sector 38",Lucknow,All-night Jagran with langar,ramayan.jpg,2025-07-15 07:38:55
1078,Satsang Sabha,Bhajan,2025-08-08,16:00,"ISKCON Temple, Sector 26",Varanasi,Path and kirtan with spiritual leaders,matachowki.jpg,2025-07-15 07:38:55
1079,Kirtan Mela,Satsang,2025-08-14,07:00,"Hanuman Mandir, Sector 46",Hyderabad,Live bhajan by local artists,janmashtami.jpg,2025-07-15 07:38:55
1080,Ganesh Chaturthi,Jagran,2025-08-10,18:15,"Vaishno Devi Mandir, Sector 9",Hyderabad,Special spiritual event with prasad,noimage.jpg,2025-07-15 07:38:55
1081,Ramayan Paath,Satsang,2025-10-21,12:30,"Radha Krishna Mandir, Sector 6",Hyderabad,Path and kirtan with spiritual leaders,janmashtami.jpg,2025-07-15 07:38:55
1082,Shivratri Pooja,Pooja,2025-08-07,15:00,"Vaishno Devi Mandir, Sector 18",Chennai,All-night Jagran with langar,shivratri.jpg,2025-07-15 07:38:55
1083,Radha Ashtami,Satsang,2025-10-21,16:30,"Radha Krishna Mandir, Sector 41",Varanasi,Special spiritual event with prasad,janmashtami.jpg,2025-07-15 07:38:55
1084,Navratri Bhajan,Satsang,2025-10-12,15:30,"Radha Krishna Mandir, Sector 12",Chennai,All-night Jagran with langar,matachowki.jpg,2025-07-15 07:38:55
1085,Hanuman Jayanti,Bhajan,2025-10-08,08:45,"Hanuman Mandir, Sector 47",Bangalore,Morning pooja followed by community lunch,janmashtami.jpg,2025-07-15 07:38:55
1086,Lakshmi Poojan,Jagran,2025-09-26,07:15,"Vaishno Devi Mandir, Sector 42",Delhi,Live bhajan by local artists,noimage.jpg,2025-07-15 07:38:55
1087,Sunderkand Path,Satsang,2025-08-24,11:45,"Radha Krishna Mandir, Sector 31",Lucknow,Morning pooja followed by community lunch,matachowki.jpg,2025-07-15 07:38:55
1088,Jagran Mahotsav,Jagran,2025-09-30,17:45,"ISKCON Temple, Sector 31",Lucknow,All-night Jagran with langar,noimage.jpg,2025-07-15 07:38:55
1089,Mata Ki Chowki,Bhajan,2025-09-02,15:45,"ISKCON Temple, Sector 37",Varanasi,Live bhajan by local artists,bhajan.jpg,2025-07-15 07:38:55
1090,Bhajan Sandhya,Bhajan,2025-09-06,08:30,"ISKCON Temple, Sector 44",Bangalore,Special spiritual event with prasad,matachowki.jpg,2025-07-15 07:38:55
1091,Sunderkand Path,Bhajan,2025-10-27,11:15,"Durga Mandir, Sector 33",Varanasi,Path and kirtan with spiritual leaders,bhajan.jpg,2025-07-15 07:38:55
1092,Kirtan Mela,Jagran,2025-09-03,21:30,"Kalka Mandir, Sector 18",Varanasi,Path and kirtan with spiritual leaders,ramayan.jpg,2025-07-15 07:38:55
1093,Durga Saptashati,Jagran,2025-08-24,08:00,"Kalka Mandir, Sector 27",Ahmedabad,Path and kirtan with spiritual leaders,shivratri.jpg,2025-07-15 07:38:55
1094,Hanuman Jayanti,Satsang,2025-10-18,07:15,"Kalka Mandir, Sector 6",Chennai,All-night Jagran with langar,noimage.jpg,2025-07-15 07:38:55
1095,Satsang Sabha,Jagran,2025-09-10,12:15,"Hanuman Mandir, Sector 12",Delhi,Path and kirtan with spiritual leaders,janmashtami.jpg,2025-07-15 07:38:55
1096,Radha Ashtami,Pooja,2025-09-04,09:45,"ISKCON Temple, Sector 19",Chennai,Live bhajan by local artists,noimage.jpg,2025-07-15 07:38:55
1097,Kirtan Mela,Jagran,2025-10-17,12:00,"Hanuman Mandir, Sector 23",Hyderabad,All-night Jagran with langar,noimage.jpg,2025-07-15 07:38:55
1098,Hanuman Jayanti,Satsang,2025-09-25,20:30,"Hanuman Mandir, Sector 22",Chennai,Live bhajan by local artists,ramayan.jpg,2025-07-15 07:38:55
1099,Hanuman Jayanti,Bhajan,2025-09-08,17:00,"Shiv Mandir, Sector 47",Pune,All-night Jagran with langar,matachowki.jpg,2025-07-15 07:38:55
1100,Jagran Mahotsav,Satsang,2025-08-04,10:00,"Kalka Mandir, Sector 35",Varanasi,Special spiritual event with prasad,bhajan.jpg,2025-07-15 07:38:55
1101,Ganesh Chaturthi,Pooja,2025-08-24,17:00,"Durga Mandir, Sector 41",Varanasi,All-night Jagran with langar,janmashtami.jpg,2025-07-15 07:38:55
1102,Radha Ashtami,Pooja,2025-09-11,06:00,"Shiv Mandir, Sector 50",Lucknow,Morning pooja followed by community lunch,matachowki.jpg,2025-07-15 07:38:55
1103,Bhajan Sandhya,Bhajan,2025-09-05,16:30,"Durga Mandir, Sector 48",Mumbai,Path and kirtan with spiritual leaders,matachowki.jpg,2025-07-15 07:38:55
1104,Mata Ki Chowki,Jagran,2025-10-20,10:30,"Hanuman Mandir, Sector 44",Bangalore,Live bhajan by local artists,noimage.jpg,2025-07-15 07:38:55
1105,Radha Ashtami,Satsang,2025-09-22,11:00,"Radha Krishna Mandir, Sector 27",Jaipur,Morning pooja followed by community lunch,sunderkand.jpg,2025-07-15 07:38:55
1106,Navratri Bhajan,Satsang,2025-08-08,13:30,"ISKCON Temple, Sector 6",Chennai,Special spiritual event with prasad,shivratri.jpg,2025-07-15 07:38:55
1107,Durga Saptashati,Satsang,2025-08-11,19:45,"ISKCON Temple, Sector 11",Pune,Live bhajan by local artists,bhajan.jpg,2025-07-15 07:38:55
1108,Ramayan Paath,Bhajan,2025-10-11,11:30,"Vaishno Devi Mandir, Sector 14",Mumbai,Live bhajan by local artists,noimage.jpg,2025-07-15 07:38:55
1109,Bhajan Sandhya,Satsang,2025-09-23,14:30,"Vaishno Devi Mandir, Sector 24",Varanasi,Special spiritual event with prasad,ramayan.jpg,2025-07-15 07:38:55
1110,Satsang Sabha,Satsang,2025-08-23,10:15,"Hanuman Mandir, Sector 19",Delhi,Special spiritual event with prasad,ramayan.jpg,2025-07-15 07:38:55
1111,Kirtan Mela,Jagran,2025-09-18,15:30,"Shiv Mandir, Sector 31",Bangalore,Morning pooja followed by community lunch,ramayan.jpg,2025-07-15 07:38:55
1112,Hanuman Jayanti,Satsang,2025-09-05,15:00,"Hanuman Mandir, Sector 11",Chennai,Morning pooja followed by community lunch,shivratri.jpg,2025-07-15 07:38:55
1113,Ramayan Paath,Bhajan,2025-10-07,21:45,"Hanuman Mandir, Sector 14",Ahmedabad,Morning pooja followed by community lunch,matachowki.jpg,2025-07-15 07:38:55
1114,Jagran Mahotsav,Bhajan,2025-09-05,09:00,"Radha Krishna Mandir, Sector 38",Chennai,Special spiritual event with prasad,shivratri.jpg,2025-07-15 07:38:55
1115,Shivratri Pooja,Jagran,2025-09-05,15:15,"Kalka Mandir, Sector 9",Jaipur,Morning pooja followed by community lunch,sunderkand.jpg,2025-07-15 07:38:55
1116,Lakshmi Poojan,Satsang,2025-08-30,07:45,"Durga Mandir, Sector 5",Jaipur,Path and kirtan with spiritual leaders,matachowki.jpg,2025-07-15 07:38:55
1117,Bhajan Sandhya,Satsang,2025-08-27,07:00,"ISKCON Temple, Sector 26",Lucknow,All-night Jagran with langar,janmashtami.jpg,2025-07-15 07:38:55
1118,Hanuman Jayanti,Satsang,2025-10-30,09:45,"Radha Krishna Mandir, Sector 21",Bangalore,Morning pooja followed by community lunch,matachowki.jpg,2025-07-15 07:38:55
1119,Ganesh Chaturthi,Bhajan,2025-08-23,05:00,"Kalka Mandir, Sector 28",Varanasi,Special spiritual event with prasad,janmashtami.jpg,2025-07-15 07:38:55
1120,Mata Ki Chowki,Jagran,2025-09-14,19:00,"Shiv Mandir, Sector 12",Lucknow,Morning pooja followed by community lunch,matachowki.jpg,2025-07-15 07:38:55
1121,Mata Ki Chowki,Bhajan,2025-08-18,06:00,"Shiv Mandir, Sector 16",Jaipur,Path and kirtan with spiritual leaders,ramayan.jpg,2025-07-15 07:38:55
1122,Bhajan Sandhya,Pooja,2025-10-20,16:15,"ISKCON Temple, Sector 5",Varanasi,Path and kirtan with spiritual leaders,bhajan.jpg,2025-07-15 07:38:55
1123,Hanuman Jayanti,Bhajan,2025-09-20,21:00,"Hanuman Mandir, Sector 15",Delhi,All-night Jagran with langar,janmashtami.jpg,2025-07-15 07:38:55
1124,Hanuman Jayanti,Jagran,2025-08-12,17:45,"Radha Krishna Mandir, Sector 8",Bangalore,Special spiritual event with prasad,shivratri.jpg,2025-07-15 07:38:55
1125,Sunderkand Path,Satsang,2025-08-20,05:00,"Kalka Mandir, Sector 13",Bangalore,All-night Jagran with langar,shivratri.jpg,2025-07-15 07:38:55
1126,Navratri Bhajan,Jagran,2025-09-30,14:15,"Kalka Mandir, Sector 21",Lucknow,Special spiritual event with prasad,ramayan.jpg,2025-07-15 07:38:55
1127,Shivratri Pooja,Jagran,2025-10-01,14:00,"Kalka Mandir, Sector 3",Chennai,Special spiritual event with prasad,matachowki.jpg,2025-07-15 07:38:55
1128,Radha Ashtami,Bhajan,2025-10-27,11:15,"Kalka Mandir, Sector 7",Pune,Morning pooja followed by community lunch,janmashtami.jpg,2025-07-15 07:38:55
1129,Bhajan Sandhya,Satsang,2025-09-11,11:00,"Shiv Mandir, Sector 45",Bangalore,Path and kirtan with spiritual leaders,noimage.jpg,2025-07-15 07:38:55
1130,Krishna Janmashtami,Bhajan,2025-08-06,06:00,"Vaishno Devi Mandir, Sector 32",Hyderabad,All-night Jagran with langar,sunderkand.jpg,2025-07-15 07:38:55
1131,Durga Saptashati,Pooja,2025-10-19,14:00,"Hanuman Mandir, Sector 22",Chennai,Morning pooja followed by community lunch,ramayan.jpg,2025-07-15 07:38:55
1132,Bhajan Sandhya,Bhajan,2025-08-08,09:15,"Vaishno Devi Mandir, Sector 38",Delhi,Morning pooja followed by community lunch,matachowki.jpg,2025-07-15 07:38:55
1133,Radha Ashtami,Satsang,2025-10-11,15:45,"Vaishno Devi Mandir, Sector 17",Ahmedabad,Path and kirtan with spiritual leaders,ramayan.jpg,2025-07-15 07:38:55
1134,Lakshmi Poojan,Jagran,2025-09-08,12:00,"ISKCON Temple, Sector 24",Pune,Path and kirtan with spiritual leaders,janmashtami.jpg,2025-07-15 07:38:55
1135,Shivratri Pooja,Bhajan,2025-09-30,09:30,"Kalka Mandir, Sector 7",Ahmedabad,Morning pooja followed by community lunch,matachowki.jpg,2025-07-15 07:38:55
1136,Jagran Mahotsav,Bhajan,2025-08-16,11:00,"Kalka Mandir, Sector 47",Ahmedabad,Live bhajan by local artists,shivratri.jpg,2025-07-15 07:38:55
1137,Ramayan Paath,Satsang,2025-08-04,17:30,"ISKCON Temple, Sector 20",Delhi,Morning pooja followed by community lunch,sunderkand.jpg,2025-07-15 07:38:55
1138,Satsang Sabha,Satsang,2025-10-18,06:45,"Vaishno Devi Mandir, Sector 22",Jaipur,Path and kirtan with spiritual leaders,sunderkand.jpg,2025-07-15 07:38:55
1139,Ramayan Paath,Bhajan,2025-09-06,06:45,"ISKCON Temple, Sector 43",Lucknow,Special spiritual event with prasad,janmashtami.jpg,2025-07-15 07:38:55
1140,Jagran Mahotsav,Satsang,2025-08-17,18:15,"Shiv Mandir, Sector 35",Lucknow,Live bhajan by local artists,ramayan.jpg,2025-07-15 07:38:55
1141,Mata Ki Chowki,Jagran,2025-10-09,06:45,"Kalka Mandir, Sector 8",Delhi,Morning pooja followed by community lunch,janmashtami.jpg,2025-07-15 07:38:55
1142,Hanuman Jayanti,Jagran,2025-09-03,12:30,"Radha Krishna Mandir, Sector 41",Chennai,Live bhajan by local artists,matachowki.jpg,2025-07-15 07:38:55
1143,Jagran Mahotsav,Bhajan,2025-10-20,08:15,"Durga Mandir, Sector 18",Pune,Special spiritual event with prasad,ramayan.jpg,2025-07-15 07:38:55
1144,Bhajan Sandhya,Pooja,2025-08-02,07:00,"Vaishno Devi Mandir, Sector 47",Hyderabad,Special spiritual event with prasad,janmashtami.jpg,2025-07-15 07:38:55
1145,Ramayan Paath,Bhajan,2025-10-21,13:45,"Shiv Mandir, Sector 12",Hyderabad,Path and kirtan with spiritual leaders,ramayan.jpg,2025-07-15 07:38:55
1146,Ganesh Chaturthi,Pooja,2025-10-24,17:15,"ISKCON Temple, Sector 30",Mumbai,Path and kirtan with spiritual leaders,shivratri.jpg,2025-07-15 07:38:55
1147,Bhajan Sandhya,Bhajan,2025-08-22,08:45,"Vaishno Devi Mandir, Sector 38",Ahmedabad,All-night Jagran with langar,janmashtami.jpg,2025-07-15 07:38:55
1148,Lakshmi Poojan,Bhajan,2025-10-08,15:30,"Radha Krishna Mandir, Sector 6",Chennai,Path and kirtan with spiritual leaders,shivratri.jpg,2025-07-15 07:38:55
1149,Lakshmi Poojan,Bhajan,2025-10-15,14:15,"Radha Krishna Mandir, Sector 18",Jaipur,Live bhajan by local artists,bhajan.jpg,2025-07-15 07:38:55
1150,Sunderkand Path,Satsang,2025-10-07,19:00,"Durga Mandir, Sector 49",Varanasi,Live bhajan by local artists,sunderkand.jpg,2025-07-15 07:38:55
1151,Ganesh Chaturthi,Satsang,2025-10-04,10:15,"Durga Mandir, Sector 12",Lucknow,Special spiritual event with prasad,shivratri.jpg,2025-07-15 07:38:55
1152,Sunderkand Path,Bhajan,2025-09-02,10:45,"Vaishno Devi Mandir, Sector 43",Mumbai,All-night Jagran with langar,bhajan.jpg,2025-07-15 07:38:55
1153,Lakshmi Poojan,Bhajan,2025-10-29,21:00,"Hanuman Mandir, Sector 36",Mumbai,Path and kirtan with spiritual leaders,shivratri.jpg,2025-07-15 07:38:55
1154,Radha Ashtami,Jagran,2025-09-17,06:15,"Hanuman Mandir, Sector 44",Hyderabad,All-night Jagran with langar,noimage.jpg,2025-07-15 07:38:55
1155,Durga Saptashati,Bhajan,2025-10-16,20:15,"Radha Krishna Mandir, Sector 3",Mumbai,All-night Jagran with langar,noimage.jpg,2025-07-15 07:38:55
1156,Navratri Bhajan,Satsang,2025-10-07,05:45,"ISKCON Temple, Sector 23",Bangalore,All-night Jagran with langar,shivratri.jpg,2025-07-15 07:38:55
1157,Hanuman Jayanti,Bhajan,2025-08-07,10:15,"Hanuman Mandir, Sector 48",Pune,Live bhajan by local artists,janmashtami.jpg,2025-07-15 07:38:55
1158,Satsang Sabha,Jagran,2025-09-30,06:45,"Durga Mandir, Sector 28",Hyderabad,All-night Jagran with langar,sunderkand.jpg,2025-07-15 07:38:55
1159,Krishna Janmashtami,Bhajan,2025-08-22,08:00,"Durga Mandir, Sector 1",Lucknow,All-night Jagran with langar,ramayan.jpg,2025-07-15 07:38:55
